,Message,Label
1846,Hi. || Do u want | to join me with sts later? || Meeting them at five. || Call u after class.,0
836,Good Morning my Dear........... Have a great &amp; successful day.,0
5436,Mode men or have you left.,0
1294,Happy birthday... May all ur dreams come true...,0
4842,"Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...",0
5191,"Sorry, I'll call later",0
4447,Merry christmas to u too annie!,0
3101,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,0
9,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1
717,+449071512431 URGENT! This is the 2nd attempt to contact U!U have WON £1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. max£7. 50,1
4346,Enjoy urself tmr...,0
2620,<Forwarded from 21870000>Hi - this is your Mailbox Messaging SMS alert. You have 40 matches. Please call back on 09056242159 to retrieve your messages and matches cc100p/min,1
2517,Yes.i'm in office da:),0
4168,Are you at work right now ?,0
4964,I want to see your pretty pussy...,0
3557,Ok lor. I'm in town now lei.,0
3626,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),0
1085,For me the love should start with attraction.i should feel that I need her every time around me.she should be the first thing which comes in my thoughts.I would start the day and end it with her.she should be there every time I dream.love will be then when my every breath has her name.my life should happen around her.my life will be named to her.I would cry for her.will give all my happiness and take all her sorrows.I will be ready to fight with anyone for her.I will be in love when I will be doing the craziest things for her.love will be when I don't have to proove anyone that my girl is the most beautiful lady on the whole planet.I will always be singing praises for her.love will be when I start up making chicken curry and end up makiing sambar.life will be the most beautiful then.will get every morning and thank god for the day because she is with me.I would like to say a lot..will tell later..,0
4257,Aah! A cuddle would be lush! I'd need lots of tea and soup before any kind of fumbling!,0
1273,Ok...,0
3128,Thats cool. i liked your photos. You are very sexy!,0
4907,Will you come online today night,0
1467,Your account has been refilled successfully by INR  &lt;DECIMAL&gt; . Your KeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . Your Transaction ID is KR &lt;#&gt; .,0
4437,"House-Maid is the murderer, coz the man was murdered on  &lt;#&gt; th January.. As public holiday all govt.instituitions are closed,including post office..understand?",0
4963,Yup ok...,0
1380,No. 1 Nokia Tone 4 ur mob every week! Just txt NOK to 87021. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1
4831,"The word ""Checkmate"" in chess comes from the Persian phrase ""Shah Maat"" which means; ""the king is dead.."" Goodmorning.. Have a good day..:)",0
5052,With my sis lor... We juz watched italian job.,0
716,When i have stuff to sell i.ll tell you,0
2042,Ü dun wan to watch infernal affair?,0
3644,"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date.",0
5386,I'm at work. Please call,0
266,Same. Wana plan a trip sometme then,0
580,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",0
1927,"Dont give a monkeys wot they think and i certainly don't mind. Any friend of mine&all that! Just don't sleep wiv , that wud be annoyin!",0
2678,Where in abj are you serving. Are you staying with dad or alone.,0
2489,Aiyah e rain like quite big leh. If drizzling i can at least run home.,0
2775,"Dude u knw also telugu..thts gud..k, gud nyt..",0
2194,I called but no one pick up e phone. I ask both of them already they said ok.,0
2512,Er yep sure. Props?,0
1889,No. On the way home. So if not for the long dry spell the season would have been over,0
63,"Sorry my roommates took forever, it ok if I come by now?",0
4535,I have no money 4 steve mate! !,0
2177,get ready to moan and scream :),0
568,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already",0
2320,In which place do you want da.,0
1818,Well i will watch shrek in 3D!!B),0
1777,Call FREEPHONE 0800 542 0578 now!,1
4432,2mro i am not coming to gym machan. Goodnight.,0
1469,Hi its LUCY Hubby at meetins all day Fri & I will B alone at hotel U fancy cumin over? Pls leave msg 2day 09099726395 Lucy x Calls£1/minMobsmoreLKPOBOX177HP51FL,1
3192,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+£1.50perWKsub,1
990,Ugh. Gotta drive back to sd from la. My butt is sore.,0
562,Thanx 4 e brownie it's v nice...,0
4554,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...  ,0
2747,K da:)how many page you want?,0
2458,K.k..how is your sister kids?,0
3737,Hows the street where the end of library walk is?,0
5162,Just send a text. We'll skype later.,0
1138,LOL ... No just was busy,0
1254,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,0
4525,I've sent ü my part..,0
1639,Great comedy..cant stop laughing da:),0
3433,Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,1
780,That means get the door,0
127,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",0
4586,U have a Secret Admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09065171142-stopsms-08718727870150ppm,1
4251,How much for an eighth?,0
4710,"Haha awesome, I might need to take you up on that, what you doin tonight?",0
679,Cause I'm not freaky lol,0
4291,"For you information, IKEA is spelled with all caps. That is not yelling. when you thought i had left you, you were sitting on the bed among the mess when i came in. i said we were going after you got home from class. please don't try and bullshit me. It makes me want to listen to you less.",0
3106,Or remind me in a few hrs.,0
3064,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",1
3730,I'm at home. Please call,0
649,No prob. I will send to your email.,0
4741,"I keep seeing weird shit and bein all ""woah"" then realising it's actually reasonable and I'm all ""oh""",0
3331,Send me yetty's number pls.,0
4018,Eek that's a lot of time especially since American Pie is like 8 minutes long. I can't stop singing it.,0
2299,Dont pick up d call when something important is There to tell. Hrishi,0
4991,Phony £350 award - Todays Voda numbers ending XXXX are selected to receive a £350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app,1
792,All e best 4 ur driving tmr :-),0
2434,"Indians r poor but India is not a poor country. Says one of the swiss bank directors. He says that "" &lt;#&gt;  lac crore"" of Indian money is deposited in swiss banks which can be used for 'taxless' budget for  &lt;#&gt;  yrs. Can give  &lt;#&gt;  crore jobs to all Indians. From any village to Delhi 4 lane roads. Forever free power suply to more than  &lt;#&gt;  social projects. Every citizen can get monthly  &lt;#&gt; /- for  &lt;#&gt;  yrs. No need of World Bank &amp; IMF loan. Think how our money is blocked by rich politicians. We have full rights against corrupt politicians. Itna forward karo ki pura INDIA padhe.g.m.""",0
5469,Ok lor.,0
1150,Not a drop in the tank,0
3315,Oh gei. That happend to me in tron. Maybe ill dl it in 3d when its out,0
3650,Hmm ill have to think about it... ok you're forgiven! =D,0
4429,Aiyar dun disturb u liao... Thk u have lots 2 do aft ur cupboard come...,0
3399,It only does simple arithmetic not percentages.,0
3995,I love to cuddle! I want to hold you in my strong arms right now...,0
5500,Love has one law; Make happy the person you love. In the same way friendship has one law; Never make ur friend feel alone until you are alive.... Gud night,0
2412,"Come to me right now, Ahmad",0
2518,"Sorry, I'll call later",0
762,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.",0
1646,I.ll post her out l8r. In class,0
5498,Why did I wake up on my own &gt;:(,0
4289,Hey mr whats the name of that bill brison book the one about language and words ,0
3112,"Short But Cute : "" Be a good person , but dont try to prove"" ..... Gud mrng...",0
3908,No that just means you have a fat head,0
5570,The guy did some bitching but I acted like i'd be interested in buying something else next week and he gave it to us for free,0
875,Talk With Yourself Atleast Once In A Day...!!! Otherwise You Will Miss Your Best FRIEND In This WORLD...!!! -Shakespeare- SHESIL  &lt;#&gt;,0
563,Geeeee ... I love you so much I can barely stand it,0
1023,We still on for tonight?,0
3364,Can... I'm free...,0
2423,A bloo bloo bloo I'll miss the first bowl,0
382,"Yeah sure, give me a couple minutes to track down my wallet",0
4549,Hope you are having a good week. Just checking in,0
5403,So gd got free ice cream... I oso wan...,0
1770,Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,0
2448,Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...,0
1549,"Me, i dont know again oh",0
4492,"My friend, she's studying at warwick, we've planned to go shopping and to concert tmw, but it may be canceled, havn't seen  for ages, yeah we should get together sometime!",0
282,"Wen u miss someone, the person is definitely special for u..... But if the person is so special, why to miss them, just Keep-in-touch gdeve..",0
682,Ü log off 4 wat. It's sdryb8i,0
5194,Ok... Take ur time n enjoy ur dinner...,0
3828,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max ,1
1875,Would you like to see my XXX pics they are so hot they were nearly banned in the uk!,1
799,Ok i msg u b4 i leave my house.,0
1070,Jus finish bathing...,0
2256,"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams",0
4577,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,1
4068,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",1
3713,Wat u doing there?,0
2771,No problem. Talk to you later,0
1681,Okay... We wait ah,0
2203,"(And my man carlos is definitely coming by mu tonight, no excuses)",0
5245,Thank you princess! I want to see your nice juicy booty...,0
4133,Hi baby ive just got back from work and i was wanting to see u allday! I hope i didnt piss u off on the phone today. If u are up give me a call xxx,0
3088,So i asked how's anthony. Dad. And your bf,0
999,Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.,0
4933,Match started.india  &lt;#&gt;  for 2,0
415,100 dating service cal;l 09064012103 box334sk38ch,1
3019,I didn't get the second half of that message,0
1119,I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,0
5511,"It‘s reassuring, in this crazy world.",0
2723,It's justbeen overa week since we broke up and already our brains are going to mush!,0
3736,"It‘s £6 to get in, is that ok?",0
2901,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house,0
1710,U meet other fren dun wan meet me ah... Muz b a guy rite...,0
3423,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,1
4226,"The world suffers a lot... Not because of the violence of bad people. But because of the silence of good people!, Gud night....",0
772,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? ,0
1892,Probably earlier than that if the station's where I think it is,0
4879,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1
1551,He says hi and to get your ass back to south tampa (preferably at a kegger),0
5000,"Hmph. Go head, big baller.",0
5404,Pls give her prometazine syrup. 5mls then  &lt;#&gt; mins later feed.,0
2129,Well I'm going to be an aunty!,0
5550,"Cool, what time you think you can get here?",0
2596,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,1
3689,I'll meet you in the lobby,0
3041,One day a crab was running on the sea shore..The waves came n cleared the footprints of the crab.. Crab asked: being my frnd y r u clearing my beautiful footprints? Waves replied: A fox was following ur footprints to catch you! thats y i cleared it off:) frndsship never lets u dwn :-) GUD nyt..,0
3122,Small problem in auction:)punj now asking tiwary,0
701,How much r ü willing to pay?,0
1422,Do you work all this week ?,0
3323,Ok darlin i supose it was ok i just worry too much.i have to do some film stuff my mate and then have to babysit again! But you can call me there.xx,0
2855,Haha... Hope ü can hear the receipt sound... Gd luck!,0
3579,They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..  ,0
3525,Yeah that'd pretty much be the best case scenario,0
1934,R u over scratching it?,0
830,Thanks for yesterday sir. You have been wonderful. Hope you enjoyed the burial. MojiBiola,0
3132,"LookAtMe!: Thanks for your purchase of a video clip from LookAtMe!, you've been charged 35p. Think you can do better? Why not send a video in a MMSto 32323.",1
4922,"Its so common hearin How r u? Wat r u doing? How was ur day? So let me ask u something different. Did u smile today? If not, do it now.... Gud evng.",0
5254,I didnt get anything da,0
4873,Hi dis is yijue i would be happy to work wif ü all for gek1510...,0
5563,Ard 6 like dat lor.,0
2285,"Velly good, yes please!",0
2454,How much she payed. Suganya.,0
876,"Shop till u Drop, IS IT YOU, either 10K, 5K, £500 Cash or £100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary",1
3243,Good Morning my Dear........... Have a great &amp; successful day.,0
2358,Okay same with me. Well thanks for the clarification,0
3590,I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,0
2505,"Hello, my boytoy! I made it home and my constant thought is of you, my love. I hope your having a nice visit but I can't wait till you come home to me ...*kiss*",0
4098,i am going to bed now prin,0
4217,Er mw im filled tuth is aight,0
2851,She's fine. Good to hear from you. How are you my dear? Happy new year oh.,0
3813,Yep then is fine 7.30 or 8.30 for ice age.,0
4453,I've told you everything will stop. Just dont let her get dehydrated.,0
4858,Thanks  and ! Or bomb and date as my phone wanted to say! ,0
5076,"This is the 2nd attempt to contract U, you have won this weeks top prize of either £1000 cash or £200 prize. Just call 09066361921",1
2514,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16,1
438,How long does applebees fucking take,0
1324,I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?,0
4957,"Ahhhh...just woken up!had a bad dream about u tho,so i dont like u right now :) i didnt know anything about comedy night but i guess im up for it.",0
5522,Thats cool. I want to please you...,0
289,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-)..",0
997,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,0
2009,See the forwarding message for proof,0
254,"Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.",0
4248,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones,1
4968,You can donate £2.50 to UNICEF's Asian Tsunami disaster support fund by texting DONATE to 864233. £2.50 will be added to your next bill,1
3160,Are you up for the challenge? I know i am :),0
4173,"Sorry, I'll call later",0
5226,Prabha..i'm soryda..realy..frm heart i'm sory,0
2713,Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath,0
3297,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,0
878,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. £1.50 SP:Tyrone,1
1796,"I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love",0
3802,"It's ok, at least armand's still around",0
1638,"0A$NETWORKS allow companies to bill for SMS, so they are responsible for their ""suppliers"", just as a shop has to give a guarantee on what they sell. B. G.",1
5088,I wont do anything de.,0
4236,FREEMSG: Our records indicate you may be entitled to 3750 pounds for the Accident you had. To claim for free reply with YES to this msg. To opt out text STOP,1
3326,Nope... Juz off from work...,0
4446,"2 celebrate my bday, y else?",0
4157,"Yo, call me when you get the chance, a friend of mine wanted me to ask you about a big order",0
4597,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit",0
4798,Santa calling! Would your little ones like a call from Santa Xmas Eve? Call 09077818151 to book you time. Calls1.50ppm last 3mins 30s T&C www.santacalling.com,1
5014,"Uncle G, just checking up on you. Do have a rewarding month",0
4826,I am going to sleep. I am tired of travel.,0
4308,I guess it is useless calling u 4 something important.,0
4385,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,0
4329,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",1
312,"Think ur smart ? Win £200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week",1
3869,"not that I know of, most people up here are still out of town",0
5303,"I can. But it will tell quite long, cos i haven't finish my film yet...",0
3161,How much did ur hdd casing cost.,0
276,Thanx...,0
3151,Yo! Howz u? girls never rang after india. L,0
134,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. £1.50 SP:Tyrone,1
1598,URGENT! Your Mobile number has been awarded with a £2000 prize GUARANTEED. Call 09061790121 from land line. Claim 3030. Valid 12hrs only 150ppm,1
3844,Yes ammae....life takes lot of turns you can only sit and try to hold the steering...,0
1991,HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX,0
4368,I like dis sweater fr mango but no more my size already so irritating.,0
5219,Pls she needs to dat slowly or she will vomit more.,0
3840,"Erm … ill pick you up at about 6.45pm. That'll give enough time to get there, park and that.",0
2925,Thts god's gift for birds as humans hav some natural gift frm god..,0
2198,Bring it if you got it,0
3881,Hi juan. Im coming home on fri hey. Of course i expect a welcome party and lots of presents. Ill phone u when i get back. Loads of love nicky x x x x x x x x x,0
2726,No. But we'll do medical missions to nigeria,0
3578,Yeah confirmed for you staying at  that weekend,0
2902,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send CASH to 86688 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,1
4172,Pls what's the full name of joke's school cos fees in university of florida seem to actually be  &lt;#&gt; k. Pls holla back,0
3474,You getting back any time soon?,0
5412,Gr8. So how do you handle the victoria island traffic. Plus when's the album due,0
731,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,1
2217,OK i'm waliking ard now... Do u wan me 2 buy anything go ur house?,0
511,"8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try",0
1814,Yes we are chatting too.,0
1714,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX,1
3514,Staff of placement training in Amrita college.,0
2671,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.,0
3010,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,1
4656,Our Prasanth ettans mother passed away last night. Just pray for her and family.,0
573,Can you open the door?,0
443,Oic... I saw him too but i tot he din c me... I found a group liao...,0
1854,I just made some payments so dont have that much. Sorry. Would you want it fedex or the other way.,0
2605,You call times job today ok umma and ask them to speed up,0
5533,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",0
320,"Coffee cake, i guess...",0
3115,Yes watching footie but worried we're going to blow it - Phil Neville?,0
3382,"complimentary 4 STAR Ibiza Holiday or £10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",1
2207,"URGENT! Your mobile No 07xxxxxxxxx won a £2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP! BOX97N7QP, 150PPM",1
954,Also remember to get dobby's bowl from your car,0
356,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer.",0
2834,"You've won tkts to the EURO2004 CUP FINAL or £800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm",1
708,Quite late lar... Ard 12 anyway i wun b drivin...,0
4302,Are there TA jobs available? Let me know please cos i really need to start working,0
2323,Should I be stalking u?,0
1317,Why nothing. Ok anyway give me treat,0
4456,"Storming msg: Wen u lift d phne, u say ""HELLO"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? ""Margaret Hello"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person, bt not his girlfrnd... G o o d n i g h t . . .@",0
319,December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906,1
4032,"Sorry vikky, i'm Watching olave mandara movie kano in trishul theatre wit my frnds..",0
1748,I think u have the wrong number.,0
4017,In which place i can get rooms cheap:-),0
2590,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,1
1043,Easy ah?sen got selected means its good..,0
2804,FreeMsg>FAV XMAS TONES!Reply REAL,1
4534,Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,1
1958,Take something for pain. If it moves however to any side in the next 6hrs see a doctor.,0
2841,BABE !!! I miiiiiiissssssssss you ! I need you !!! I crave you !!! :-( ... Geeee ... I'm so sad without you babe ... I love you ...,0
2617,I went to ur hon lab but no one is there.,0
4117,What you doing?how are you?,0
1440,In fact when do you leave? I think addie goes back to school tues or wed,0
4280,"URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !",1
1184,Am i that much bad to avoid like this?,0
1656,At 7 we will go ok na.,0
2960,Buzzzz! *grins* Did I buzz your ass? Buzz your chest ? Buzz your cock ? Where do you keep your phone ? Is the vibrator on ? Did you feel it shake ?,0
2433,Really dun bluff me leh... U sleep early too. Nite...,0
1404,cool. We will have fun practicing making babies!,0
1950,Wait 2 min..stand at bus stop,0
2714,Nope i'm not drivin... I neva develop da photos lei...,0
4232,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.,0
4067,Fyi I'm gonna call you sporadically starting at like  &lt;#&gt;  bc we are not not doin this shit,0
680,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,0
3379,Hows that watch resizing,0
2846,Will be out of class in a few hours. Sorry,0
1135,U wake up already? Thanx 4 e tau sar piah it's quite nice.,0
544,4 oclock at mine. Just to bash out a flat plan.,0
149,K..i deleted my contact that why?,0
3397,URGENT! Your Mobile number has been awarded with a £2000 Bonus Caller Prize. Call 09058095201 from land line. Valid 12hrs only,1
919,Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck? ,0
4022,We have to pick rayan macleran there.,0
4076,"God picked up a flower and dippeditinaDEW, lovingly touched itwhichturnedinto u, and the he gifted tomeandsaid,THIS FRIEND IS 4U",0
2924,Fine am simply sitting.,0
621,Dear we got  &lt;#&gt;  dollars hi hi,0
2394,"Okey doke. I'm at home, but not dressed cos laying around ill! Speak to you later bout times and stuff. ",0
2982,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear",0
569,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,0
3970,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,0
2115,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",1
260,I‘m parked next to a MINI!!!! When are you coming in today do you think?,0
2921,"Thanx 4 the time weve spent 2geva, its bin mint! Ur my Baby and all I want is u!xxxx",0
726,Got it! It looks scrumptious... daddy wants to eat you all night long!,0
3700,How i noe... Did ü specify da domain as nusstu... Ü still in sch...,0
1704,Just taste fish curry :-P,0
4579,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",1
2496,WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,1
2204,soon you will have the real thing princess! Do i make you wet? :),0
4868,Okey dokey swashbuckling stuff what oh.,0
2698,Can you use foreign stamps for whatever you send them off for? ,0
1384,Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday eve...i already see in net..no ticket available..i want to book ticket through tackle ..,0
754,When did you get to the library,0
5087,"Good morning, im suffering from fever and dysentry ..will not be able to come to office today.",0
1589,At 4. Let's go to bill millers,0
5146,Oh unintentionally not bad timing. Great. Fingers  the trains play along! Will give fifteen min warning.,0
583,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,1
4925,We can go 4 e normal pilates after our intro...  ,0
4836,"OH RITE. WELL IM WITH MY BEST MATE PETE, WHO I WENT OUT WITH 4 A WEEK+ NOW WERE 2GEVA AGAIN. ITS BEEN LONGER THAN A WEEK.",0
3858,"No! But we found a diff farm shop to buy some cheese. On way back now, can i call in?",0
3411,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,0
4062,"Aight I've been set free, think you could text me blake's address? It occurs to me I'm not quite as sure what I'm doing as I thought I was",0
3889,ok....take care.umma to you too...,0
2138,Then why you came to hostel.,0
2378,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,1
3296,Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.,0
3740,Did you stitch his trouser,0
3355,R u sure they'll understand that! Wine * good idea just had a slurp!,0
